land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,living_room,parking_space,front_garden,swimming_pool,house_age,crime_rate_index,property_value
142,127,1,2,1,0,0,0,19,0.21,102963
255,225,4,5,1,1,1,0,6,0.98,210736
203,188,3,4,0,1,0,1,10,5.03,156460
291,248,5,5,1,1,1,1,2,0.29,272203
108,102,1,2,0,1,0,0,22,1.7,74438
155,149,2,3,0,0,0,0,9,4.47,113225
191,174,3,2,0,0,1,0,12,1.08,147564
541,461,7,5,1,1,1,1,17,4.7,432366
183,163,3,4,0,0,1,0,5,5.86,147891
516,488,7,4,1,1,1,1,9,2.47,377496
212,203,3,4,0,1,0,1,13,1.92,174726
197,181,4,4,0,1,1,1,17,2.45,183821
213,201,3,1,0,0,0,1,7,5.07,173804
418,413,6,7,1,1,1,1,18,4.24,340831
287,270,5,5,1,1,1,1,20,0.73,254180
383,345,6,6,1,1,1,1,9,3.54,325202
128,128,2,2,0,0,1,0,21,0.84,83743
279,270,5,2,1,1,1,1,10,4.98,236011
250,216,4,4,1,1,1,1,6,1.42,224755
257,236,4,3,1,1,1,1,4,3.38,219882
256,233,4,2,1,1,1,1,22,3.63,221308
271,243,5,2,1,1,1,1,8,1.57,255634
224,220,3,1,0,0,0,0,7,1.15,174217
313,298,5,4,1,1,1,1,5,4.72,259637
290,268,4,5,1,1,1,1,7,2.92,248093
238,205,3,4,1,1,0,0,14,0.2,193914
311,304,5,5,1,1,1,1,18,0.24,251227
284,253,4,3,1,1,0,1,11,2.69,243293
617,607,8,7,1,1,1,1,12,5.14,530338
159,159,3,4,1,0,1,0,4,4.34,134161
219,210,3,4,1,1,1,0,4,4.72,171488
123,115,1,2,0,0,0,0,13,4.21,67293
264,226,5,2,1,1,1,1,21,2.87,198375
359,313,5,5,1,1,1,1,11,3.28,311011
244,236,5,4,1,1,1,1,17,2.32,224821
214,182,4,3,1,1,1,1,7,5.68,183656
227,203,4,2,1,1,1,1,12,0.14,186912
157,153,3,4,1,0,0,0,12,0.64,133107
257,237,4,4,1,1,1,1,16,2.97,229497
306,283,5,5,1,1,1,1,15,1.6,265154
279,256,4,4,1,1,1,1,13,1.85,241959
302,266,5,5,1,1,1,1,4,4.06,242277
282,275,5,2,1,1,0,1,21,3.77,233084
243,230,5,2,1,1,1,1,13,5.96,217156
138,131,1,1,0,1,0,0,8,1.26,120335
226,203,4,5,1,1,1,0,6,3.07,193042
147,131,1,2,0,0,0,0,11,5.52,96218
117,113,1,1,0,0,0,0,22,2.12,85233
170,157,3,2,1,1,0,1,9,0.3,145201
347,331,5,5,1,1,0,1,1,4.67,287957
240,212,4,2,1,1,1,1,14,5.31,200309
299,279,5,4,1,1,1,1,20,1.11,257855
308,291,5,2,1,1,1,1,8,3.6,260200
227,219,3,3,1,1,1,0,18,4.57,177185
209,209,3,3,0,0,0,0,16,5.52,150125
141,127,2,3,1,0,0,1,22,0.6,110964
238,223,3,2,0,1,0,0,4,3.7,190143
166,147,3,3,1,1,1,0,3,0.43,188154
147,127,1,2,1,1,0,1,3,5.23,110828
318,275,5,2,0,1,1,0,13,5.34,235425
235,203,3,3,0,1,0,0,8,1.95,194607
307,263,5,3,1,1,1,0,16,2.56,240162
140,139,1,2,0,0,0,0,19,4.03,97545
126,112,1,2,0,1,0,0,6,3.37,111156
167,160,2,2,0,1,0,0,22,3.04,141026
269,256,4,5,1,1,1,0,15,4.35,205252
235,227,4,5,1,1,0,1,10,5.7,200810
130,112,1,2,1,0,0,0,10,5.6,73721
464,428,8,6,1,1,1,1,21,1.75,392746
277,247,4,5,1,1,0,1,17,1.11,207798
265,262,4,4,1,1,0,0,3,3.87,202572
324,306,5,2,1,1,1,1,5,5.5,264697
237,226,4,4,0,1,1,1,21,2.34,211509
209,198,4,2,1,1,1,1,3,5.5,171651
284,265,5,2,1,1,1,1,8,2.21,252602
269,243,4,2,0,1,1,1,13,0.5,223458
130,120,2,1,1,1,0,0,2,5.97,99041
127,125,1,1,1,0,0,0,21,2.42,76940
195,183,3,3,0,1,0,0,14,1.36,155293
244,225,5,3,1,1,1,1,6,4.25,216423
240,239,4,3,1,0,1,1,7,2.77,204696
274,248,5,4,1,1,1,1,12,3.65,210481
454,412,6,6,1,1,1,1,13,0.18,374503
248,227,4,2,0,1,1,0,22,3.71,191440
171,171,3,4,0,0,0,1,20,3.36,144256
279,271,5,5,1,1,1,1,13,3.66,270125
130,113,1,2,1,1,0,1,20,4.38,95870
178,156,2,1,0,1,1,0,15,1.51,135966
196,188,4,5,1,1,1,1,7,4.05,164687
285,279,4,5,1,1,1,1,10,2.4,269106
125,118,2,1,0,1,0,0,1,2.32,93430
184,180,3,4,1,0,0,1,18,3.41,134254
264,242,4,5,1,1,1,0,9,1.11,263002
199,183,4,5,1,1,1,1,17,4.39,177902
151,151,3,4,1,0,0,0,8,5.97,136013
310,294,4,2,1,1,1,1,16,2.95,259814
255,250,5,5,1,1,0,1,12,0.71,214934
162,152,2,1,0,1,0,0,18,2.41,104462
160,141,3,4,1,1,0,1,1,0.54,163675
196,183,3,3,0,1,0,0,21,1.46,143390
222,195,3,2,1,1,0,1,15,3.56,182533
384,364,6,6,1,1,1,1,9,4.1,294804
478,475,7,6,1,1,1,1,20,4.56,381565
332,287,5,4,1,1,1,1,3,0.13,302205
191,182,4,3,0,1,1,0,4,1.56,141317
330,286,6,7,1,1,1,1,11,5.13,271701
246,245,5,5,1,0,1,1,7,4.72,219134
112,105,1,1,1,0,1,0,5,4.23,85401
309,309,4,2,1,0,1,1,3,5.68,262053
151,151,2,1,0,0,0,1,11,0.32,137281
288,280,4,4,1,1,1,1,6,4.84,223190
275,238,5,2,1,1,1,1,20,5.93,207272
329,312,5,5,1,1,1,1,17,0.98,278275
125,112,2,3,0,1,1,0,2,0.45,116903
319,280,5,3,1,1,1,0,13,3.99,250610
436,386,6,4,1,1,1,1,17,3.46,408151
451,448,6,6,1,1,1,1,10,0.2,377963
341,306,6,4,1,1,1,1,1,1.27,316906
254,249,5,3,1,1,1,1,17,2.83,220707
330,310,5,3,1,1,1,1,16,4.23,293065
514,497,7,6,1,1,1,1,17,2.17,410453
217,212,3,1,0,0,0,1,11,2.94,159474
227,196,4,2,0,1,1,1,12,1.93,201468
359,325,5,2,1,1,1,0,13,0.06,292164
271,238,4,3,1,1,1,1,8,4.25,213943
129,123,1,2,1,0,0,0,19,4.54,76497
205,185,3,1,1,0,0,1,19,1.19,182300
164,148,3,4,0,0,0,0,21,0.82,114031
211,194,4,4,1,1,1,1,5,2.01,199066
237,219,3,2,1,1,0,1,13,0.7,181745
214,207,3,3,1,1,0,1,4,5.64,166525
290,264,4,4,1,1,1,0,7,5.29,222395
475,416,7,5,1,1,1,1,18,0.39,404497
186,169,3,4,1,1,0,0,20,1.76,145613
173,161,2,1,0,1,0,0,12,2.83,143296
219,208,4,3,1,1,1,1,1,0.51,205677
269,240,5,2,1,1,1,0,11,4.24,205457
138,131,1,1,0,1,0,0,19,1.06,102642
287,282,4,4,1,1,1,1,10,3.35,231982
148,130,2,3,0,1,0,0,20,4.29,97321
266,240,4,2,1,1,0,1,3,2.01,223148
233,214,5,4,1,1,1,1,14,1.6,249523
150,129,1,1,0,0,0,1,20,0.12,131884
234,222,3,1,0,0,1,0,12,3.16,175040
296,255,4,3,1,1,1,1,21,3.32,227810
408,371,7,6,1,1,1,1,2,3.47,344521
284,246,4,3,1,1,1,1,11,4.93,235753
103,101,1,1,0,0,0,0,20,3.37,65540
227,226,4,3,1,1,1,1,5,1.94,212181
787,689,8,5,1,1,1,1,4,2.46,664664
131,120,2,3,1,1,0,0,17,4.22,94041
292,262,5,4,1,1,1,1,5,0.45,295119
239,207,5,4,1,1,1,1,22,5.14,204098
202,196,4,2,1,1,0,1,8,0.56,182564
303,263,5,2,1,1,1,1,10,0.73,265710
307,293,6,7,0,1,1,1,18,0.98,250642
359,317,5,5,1,1,1,1,12,4.1,311917
160,147,3,4,1,0,0,0,7,5.79,116061
358,316,5,4,1,1,0,1,14,0.41,299574
407,396,6,7,1,1,1,1,20,0.61,325621
148,131,2,3,0,0,0,1,15,1.87,121043
773,760,8,9,1,1,1,1,16,4.08,576789
231,224,3,4,0,1,0,0,5,1.33,202344
205,202,4,4,1,1,1,0,13,1.72,161000
451,417,7,6,1,1,1,1,3,0.18,389283
427,397,6,6,1,1,1,1,8,2.1,354297
330,312,5,5,1,1,1,1,3,3.22,258187
220,192,4,2,1,1,1,1,3,5.11,184420
306,269,4,4,1,1,1,1,7,1.99,236124
585,584,7,5,1,1,1,1,5,2.18,466085
106,96,1,2,1,1,0,0,8,3.14,82517
413,394,7,6,1,1,1,1,16,3.75,329782
163,141,2,2,1,1,1,0,15,1.55,119487
185,158,3,1,0,1,0,1,15,2.49,160156
209,198,3,4,0,1,0,1,3,3.96,175937
465,429,7,8,1,1,1,1,21,3.13,426715
302,299,4,5,1,1,0,1,9,0.18,259604
200,196,3,4,0,0,0,0,1,3.79,133156
248,231,4,2,0,1,1,1,22,0.51,217731
159,141,3,4,1,0,0,0,10,5.42,113065
314,306,5,4,1,1,1,1,22,3.57,243494
243,207,5,3,1,1,1,0,15,1.49,238703
344,328,5,5,1,1,1,1,7,1.52,296117
222,208,4,3,1,1,0,1,17,0.65,192713
308,292,4,5,1,1,1,1,6,5.87,225370
322,289,6,4,1,1,1,1,7,1.98,278536
506,459,7,7,1,1,1,1,8,2.23,415232
297,262,4,2,0,1,1,1,16,2.59,256089
289,251,4,2,0,1,1,1,16,5.4,230416
132,116,1,1,1,1,0,0,4,2.43,95292
296,290,4,4,1,1,1,1,3,2.82,263413
103,98,1,1,0,0,0,0,16,0.45,71009
254,235,4,4,1,1,1,1,2,5.86,220118
179,154,3,1,1,1,0,0,13,3.11,136777
353,344,5,5,1,1,1,1,9,3.16,295900
159,146,2,2,0,0,1,0,6,1.01,125241
227,225,3,1,0,0,0,0,8,3.59,165546
221,214,4,4,0,1,1,1,16,5.1,187609
164,142,3,4,1,1,1,0,10,5.59,147135
164,160,3,2,0,0,0,1,12,2.66,123829
275,264,4,2,1,1,1,1,7,2.16,213367
348,330,5,4,1,1,1,1,13,2.35,265087
157,150,3,4,1,1,0,1,11,5.15,115343
195,187,4,3,1,1,1,1,18,0.43,203959
167,161,2,2,1,1,0,0,7,4.31,143487
199,174,4,3,1,1,1,1,4,2.35,194831
199,187,3,2,0,0,1,0,5,2.38,157859
106,95,1,1,1,1,1,0,20,5.88,73820
253,231,5,4,1,1,1,0,5,0.07,253303
472,434,7,7,1,1,1,1,13,4.29,432513
199,174,4,5,1,1,1,1,22,4.59,152643
335,306,5,5,1,1,1,1,7,1.12,285373
149,130,1,1,0,0,0,0,19,2.75,91116
141,131,1,2,1,1,0,0,5,4.04,107374
190,186,3,3,0,0,0,0,12,2.09,152465
125,115,1,2,1,0,1,0,22,4.08,96967
164,142,2,1,0,1,0,1,4,1.97,159862
433,387,6,4,1,1,1,1,19,5.63,335933
408,369,6,4,1,1,1,1,11,1.68,349847
218,198,3,3,1,1,0,1,6,3.86,184838
124,122,2,1,0,0,1,0,13,1.72,89235
305,265,4,3,1,1,1,1,3,4.79,259628
253,232,4,4,1,1,1,1,13,5.64,228989
319,310,5,3,1,1,1,1,14,5.63,263802
349,326,5,4,1,1,1,0,6,3.68,281620
467,427,6,7,1,1,1,1,7,4.49,386200
274,247,4,5,1,1,1,0,13,0.74,227780
429,401,6,4,1,1,1,1,14,3.56,400613
248,247,4,4,1,1,0,1,22,0.75,226815
271,232,4,4,1,1,1,1,14,0.84,254610
424,403,6,5,1,1,1,1,22,3.07,329386
233,213,3,1,1,1,0,0,19,0.3,170249
243,243,4,4,1,1,1,1,18,1.01,259599
248,234,4,4,1,1,1,1,5,3.19,209986
261,226,4,2,1,1,1,1,12,5.32,187009
128,118,2,1,0,1,1,0,15,0.23,112362
278,246,4,2,1,1,1,1,6,3.56,239343
290,253,4,2,1,1,1,1,14,4.76,256203
355,351,5,3,1,0,1,1,11,5.77,264162
170,165,3,3,1,0,0,0,21,1.9,113403
114,107,1,1,0,1,0,1,4,5.56,77068
184,159,3,3,1,1,0,1,22,0.13,160047
202,202,4,4,1,0,1,1,3,1.98,187661
328,314,5,3,0,1,1,1,15,3.96,267245
244,242,5,2,1,1,1,1,9,0.92,207250
363,361,6,4,1,1,1,1,17,0.42,307768
183,165,2,3,0,1,1,0,16,0.45,154757
195,195,4,3,1,0,1,1,18,1.04,179776
316,309,5,5,0,1,1,1,1,0.88,283805
157,138,3,2,1,0,0,0,20,2.94,102872
256,254,4,4,1,1,1,1,17,1.25,196196
267,267,4,5,1,1,1,1,9,2.91,233192
208,183,3,2,0,1,1,0,3,3.83,155584
141,136,2,1,1,0,0,1,17,2.06,113642
215,187,4,2,0,1,1,1,11,1.3,211885
147,140,2,1,1,1,1,0,6,0.22,130832
194,166,4,5,1,1,0,1,20,0.91,176478
124,118,1,1,0,0,0,0,8,0.48,88784
303,281,4,4,1,1,1,1,16,2.24,254698
247,237,5,3,0,1,1,1,2,4.45,196372
125,112,2,3,0,0,0,1,6,5.87,82139
316,276,5,4,1,1,1,1,22,2.23,256795
299,271,5,4,1,1,1,1,13,4.01,254866
324,314,6,6,1,1,1,1,7,0.67,273265
251,231,4,4,1,1,1,1,21,3.02,209696
356,329,5,3,1,1,0,1,13,1.82,300578
159,145,3,1,1,1,0,0,10,4.66,103958
150,132,3,1,1,0,1,0,15,3.39,125862
268,268,4,2,1,1,1,1,1,3.05,227510
202,194,4,5,1,1,0,1,5,3.02,165028
148,133,2,3,1,1,0,1,14,5.62,122594
316,270,6,4,1,1,1,1,20,2.87,288403
204,196,3,4,1,1,0,0,13,5.58,146437
273,247,4,3,1,1,1,1,3,1.12,249036
253,236,4,4,0,1,0,1,13,3.53,203353
114,99,1,2,1,1,1,0,14,2.89,102817
426,376,7,8,1,1,1,1,14,4.56,356970
158,146,2,2,1,1,0,0,9,2.02,127479
278,247,4,5,1,1,1,1,20,4.41,209728
218,188,3,2,0,1,0,0,15,1.68,156573
157,135,3,2,1,0,0,0,16,3.11,100008
346,332,5,2,1,1,0,0,2,2.07,282242
184,165,3,1,1,0,0,0,19,1.65,164056
306,300,4,4,1,1,1,1,17,4.21,240409
263,229,4,4,1,1,1,1,20,4.75,221449
415,415,6,5,1,1,1,1,21,2.94,306285
187,178,2,3,0,0,0,1,12,4.07,133238
360,357,5,5,1,0,1,1,22,5.87,272688
145,129,2,3,0,0,0,0,10,4.53,83643
482,452,8,9,1,1,1,1,15,3.25,408741
238,219,3,3,0,1,0,1,8,0.93,203379
176,163,2,2,0,1,1,0,2,3.34,156313
163,154,2,1,0,0,0,0,11,2.67,110137
271,245,4,2,1,1,1,0,15,3.35,218900
164,140,2,2,0,1,0,0,12,0.13,130932
245,214,4,4,1,1,1,1,7,4.29,188687
314,299,5,5,1,1,1,1,1,5.44,262114
159,146,2,2,1,0,0,0,17,0.28,116812
264,237,5,4,1,1,0,1,16,0.67,227680
319,291,5,3,1,1,1,1,6,2.85,290569
238,222,3,1,1,1,1,0,7,5.8,195404
310,300,4,5,1,1,1,1,7,0.16,246094
135,121,2,1,0,0,0,0,17,3.15,93913
233,227,3,3,0,0,1,0,19,4.31,162207
207,181,4,2,1,1,1,1,13,5.7,181619
248,241,4,2,1,1,1,1,11,5.32,181426
310,274,5,4,0,1,1,1,19,1.42,271769
302,282,4,2,1,1,1,1,9,2.82,236154
547,545,7,5,1,1,1,1,3,2.78,475797
116,100,1,2,1,1,0,0,9,0.94,105806
192,173,4,2,1,1,0,1,14,4.59,164906
298,294,4,2,1,1,0,1,9,1.6,261452
155,146,3,4,1,1,0,0,16,2.98,115761
319,277,5,2,1,1,1,1,11,0.75,300852
175,157,2,2,0,1,0,1,4,4.28,137451
144,123,2,1,0,1,1,0,13,1.61,128472
284,253,4,4,1,1,1,1,16,4.55,245878
184,177,2,2,1,0,1,0,11,0.36,147494
536,514,7,7,1,1,1,1,3,0.22,446558
209,191,3,4,1,1,0,1,4,5.17,168554
182,161,3,3,0,0,0,0,4,4.23,110709
319,292,5,3,0,1,1,1,17,5.65,256295
136,117,1,1,1,0,0,0,19,4.64,87129
241,208,5,4,1,1,1,1,18,2.73,197458
308,289,4,5,1,1,1,1,16,2.75,253786
343,312,6,5,1,1,1,1,12,2.08,283158
228,194,3,4,1,1,0,0,16,2.25,192788
274,249,4,5,0,1,0,1,14,4.1,219597
304,283,4,4,1,1,1,1,6,0.7,269423
224,212,4,2,1,1,1,1,8,3.25,201618
194,172,3,1,1,1,1,0,6,1.78,172145
126,115,2,2,0,0,0,1,19,4.16,89722
216,211,4,5,1,0,1,1,13,5.04,181121
358,351,5,5,1,1,1,1,6,3.61,284811
275,248,4,3,1,1,1,0,14,3.49,240637
443,420,6,5,1,1,1,1,11,2.73,376297
146,138,1,2,0,1,0,1,14,1.9,115675
313,276,5,4,1,1,1,1,6,1.57,279260
172,153,3,2,1,1,1,0,20,2.65,164648
303,281,4,4,1,1,1,1,21,1.87,251792
285,251,4,5,1,1,1,1,4,3.75,265626
435,393,7,7,1,1,1,1,18,0.78,381309
149,146,2,3,1,0,0,0,5,0.23,115233
181,157,3,4,0,0,0,0,3,3.63,119394
160,150,3,4,1,1,1,0,19,5.45,129259
203,185,3,2,0,0,0,1,7,4.87,179057
278,275,4,3,1,1,1,1,6,0.73,249285
360,331,5,5,1,1,1,1,10,2.19,301413
228,202,4,4,1,1,1,1,11,1.53,231245
241,206,5,5,0,1,1,1,14,1.65,216512
244,212,5,2,1,1,1,1,16,5.71,212898
276,273,5,5,1,0,1,1,5,4.35,221348
190,188,3,2,1,0,0,0,4,4.39,136329
136,133,2,1,1,0,0,0,5,2.31,104669
109,108,1,2,1,0,0,0,1,2.29,82881
147,139,1,1,0,0,0,0,19,5.36,71717
107,97,1,1,1,0,0,0,8,4.32,73450
114,109,1,1,1,0,0,0,22,5.76,70777
310,281,4,5,1,1,1,0,16,3.52,219431
325,295,5,5,1,1,1,1,10,1.16,288138
204,186,4,3,1,1,1,1,10,2.75,181943
177,170,3,3,1,0,0,0,13,1.51,129905
230,197,4,4,1,1,1,1,12,5.41,212158
234,226,3,1,1,0,0,0,14,2.45,154845
268,256,4,5,1,1,1,1,10,3.4,231871
231,198,4,5,1,1,1,1,19,0.98,225640
234,225,4,2,1,1,1,1,1,0.9,211444
126,118,1,1,0,1,0,0,9,2.41,85554
198,179,3,1,1,1,0,0,15,2.45,141695
209,195,4,3,1,1,0,0,21,3.27,150445
254,239,4,3,1,1,1,0,2,1.73,201349
321,295,5,3,1,1,1,1,20,2.41,265640
453,387,7,6,1,1,1,1,17,3.69,415436
111,95,1,2,0,0,0,0,19,1.84,64436
224,195,3,1,1,1,0,0,22,4.64,140373
219,211,3,1,0,1,0,1,16,4.04,163438
122,111,2,3,0,1,0,0,4,0.51,90524
230,208,3,3,0,1,0,0,21,0.78,156980
279,264,4,3,1,1,1,0,22,2.4,215539
264,261,5,5,1,0,1,1,15,2.02,212305
295,262,4,4,1,1,1,1,17,1.82,292782
267,228,4,3,1,1,1,1,14,2.29,217326
278,274,5,4,1,1,1,1,13,2.3,230561
155,153,2,3,0,0,0,1,20,4.38,116316
159,156,3,1,1,0,0,0,15,1.17,123867
228,197,4,5,1,1,0,1,15,3.26,187456
183,182,3,3,1,0,0,1,11,5.33,160743
217,188,3,1,1,0,0,1,20,2.49,168356
253,252,5,2,1,1,1,1,15,3.32,211228
167,161,3,1,1,0,0,1,1,5.11,156071
175,168,3,3,1,1,0,1,1,2.81,185341
215,210,4,5,1,1,1,1,17,0.59,232241
304,301,5,4,1,1,1,1,18,3.25,255607
155,147,3,3,0,0,0,0,16,4.67,103359
177,165,3,4,0,0,0,1,13,5.23,124413
204,179,4,2,1,1,0,1,10,1.2,172629
303,303,4,5,1,0,1,1,11,3.99,296568
316,307,5,3,1,1,1,1,21,3.12,250936
337,313,5,3,1,1,1,0,4,3.59,241149
340,338,5,3,1,0,1,0,18,0.61,257585
223,214,3,3,0,1,0,1,14,3.35,172756
109,108,1,1,1,0,0,0,2,0.99,82244
267,259,4,4,0,1,1,1,11,2.63,271271
131,124,1,1,0,1,0,0,13,1.53,111565
101,87,1,1,1,0,0,0,8,0.48,80092
232,200,3,3,0,0,0,0,4,4.49,149711
224,191,4,4,1,1,1,1,13,2.22,201581
100,87,1,1,1,1,1,0,20,3.45,96547
285,275,4,5,1,1,1,1,20,3.11,224701
157,152,2,2,0,0,0,0,15,5.06,87437
342,301,5,2,0,1,1,0,9,3.71,278329
145,145,2,2,0,0,0,0,20,4.89,102921
137,129,2,2,0,1,1,0,17,5.57,85400
223,190,3,1,1,0,0,0,8,4.49,161162
217,210,3,1,1,1,0,0,18,4.46,162015
178,168,2,2,1,1,0,1,9,2.95,148634
199,177,4,2,0,1,1,0,10,5.43,165907
209,199,3,1,0,1,1,0,12,2.17,172891
281,255,5,2,0,1,1,1,22,2.81,207920
159,156,3,1,0,0,0,0,16,5.97,113246
238,204,3,2,1,1,0,0,17,1.12,163833
235,206,5,5,1,1,1,1,20,5.02,192213
153,135,3,2,0,1,0,0,12,1.48,129090
135,126,1,2,1,1,0,1,1,0.95,135263
148,144,2,3,0,0,0,0,12,4.44,98980
183,166,3,2,1,1,1,0,6,2.27,183046
258,245,4,4,1,1,1,1,8,2.22,230865
153,140,2,1,1,1,1,0,4,2.95,128278
211,206,3,4,0,0,1,0,18,1.57,151365
283,280,4,3,1,0,1,0,8,3.85,228272
212,196,4,2,0,1,1,1,7,0.58,220339
311,299,5,5,1,1,1,1,16,3.53,256993
120,119,1,1,0,0,0,0,2,3.21,75536
299,288,4,5,1,1,1,1,16,2.36,250477
240,220,3,1,1,1,0,1,10,4.07,201043
311,303,5,3,1,1,1,1,3,1.41,318931
219,191,4,2,1,1,0,1,20,5.63,184831
308,270,6,4,1,1,1,1,21,5.45,250537
188,185,2,3,1,0,0,1,13,0.46,149566
165,154,2,1,0,1,0,1,9,4.47,141016
257,228,5,3,1,1,1,1,19,4.99,206517
328,321,6,6,1,1,1,1,20,0.58,279364
119,119,1,1,1,0,0,0,8,5.49,67615
194,185,3,3,1,1,0,0,19,2.68,154925
301,274,5,5,1,1,1,1,5,4.54,231892
291,287,4,3,1,1,1,1,4,2.39,256277
263,263,4,5,1,0,1,1,10,1.13,229915
192,168,3,2,1,1,0,0,4,2.21,151026
224,220,4,2,1,0,1,1,21,1.79,178730
296,284,5,2,1,1,1,1,22,2.3,250799
221,202,4,4,0,1,1,1,19,4.23,173213
288,274,5,5,1,1,1,1,20,1.88,239901
121,120,1,1,0,0,0,0,14,0.8,90895
238,237,4,2,1,1,1,0,11,3.72,175307
239,206,3,1,1,1,1,0,14,1.85,182297
224,207,3,1,0,0,0,0,10,1.32,156048
235,221,5,5,1,1,1,1,12,5.32,215561
209,202,3,3,1,1,0,1,2,0.18,199622
215,205,3,4,0,0,1,0,18,4.66,141600
246,217,5,5,1,1,1,0,5,1.58,216270
298,272,4,3,0,1,1,1,4,3.19,248202
268,229,5,5,1,1,1,1,13,4.53,225494
257,240,5,2,0,1,1,0,19,4.71,193878
306,271,6,5,1,1,1,1,13,4.98,246097
162,143,3,2,0,0,0,1,7,4.48,125775
293,283,4,3,1,1,1,1,19,5.9,231256
470,425,7,8,1,1,1,1,10,5.4,378844
258,238,4,3,1,1,1,1,4,4.57,204411
112,111,1,2,0,0,0,0,6,4.94,74106
153,138,2,1,0,1,0,0,10,3.2,106522
169,160,3,4,1,1,0,0,17,2.27,126446
276,258,5,4,1,1,1,1,14,2.28,207402
253,216,4,4,1,1,1,1,8,1.29,240535
293,261,5,5,1,1,1,1,9,0.85,231463
337,332,5,3,1,1,1,1,18,0.55,292304
163,161,3,2,1,0,0,1,6,3.37,121828
100,97,1,1,0,0,0,1,21,3.51,88738
217,189,4,2,1,1,1,0,5,5.73,178056
132,128,2,3,0,0,0,1,13,5.21,123825
294,261,5,2,1,1,1,1,10,0.63,245354
228,200,4,2,1,1,1,0,15,0.07,192083
232,221,5,5,1,1,1,1,9,4.19,216194
122,112,2,3,0,0,0,0,15,5.45,73360
305,298,5,5,1,1,1,1,13,3.25,241137
218,209,4,4,1,1,0,1,14,3.85,182067
465,401,7,8,1,1,1,1,20,5.01,386579
189,167,2,2,0,1,0,0,22,0.28,124708
300,261,4,3,1,1,1,1,20,5.15,252768
206,186,3,2,1,1,0,1,2,4.49,160033
331,316,5,5,1,1,0,0,8,4.19,242718
190,165,2,3,1,1,0,1,1,3.24,147152
273,244,4,2,1,1,1,1,18,1.52,237672
255,236,5,4,1,1,1,1,10,0.58,217473
129,116,2,3,0,1,0,1,17,2.19,96182
259,254,5,5,1,0,1,1,14,1.03,237434
489,486,7,4,1,1,1,1,3,5.9,382425
341,299,6,7,1,1,1,1,16,0.33,293132
306,263,4,5,1,1,1,1,22,0.12,240768
276,248,4,2,1,1,1,1,19,3.09,259464
371,336,6,4,1,1,1,1,1,4.24,312436
128,128,1,1,0,0,0,0,10,5.85,83042
264,237,5,4,1,1,0,1,3,5.38,221468
419,419,7,6,1,1,1,1,19,2.39,327107
138,118,1,1,0,1,0,0,17,3.81,90720
192,185,3,1,1,0,1,0,11,1.3,152412
105,105,1,2,0,0,0,0,17,2.22,78873
219,202,4,5,1,1,0,1,9,5.77,180352
315,274,5,3,1,1,1,1,17,4.96,273502
214,184,3,1,1,1,0,0,17,5.12,152220
277,249,4,4,1,1,1,0,8,5.7,200606
261,237,5,5,1,1,1,1,17,4.34,221553
220,217,4,2,1,1,0,1,19,1.77,173369
300,270,4,5,0,1,1,0,22,1.06,231101
264,259,4,4,0,1,1,1,6,5.24,230616
193,183,4,4,0,1,1,0,20,1.87,183158
317,271,5,3,1,1,1,1,9,1.76,288965
293,292,4,3,0,1,1,1,13,4.49,241528
263,228,5,5,1,1,1,1,21,5.87,216406
222,189,3,1,0,1,0,1,11,2.19,169559
192,185,4,3,1,1,1,1,2,4.27,184908
315,313,6,4,1,1,1,1,6,4.94,274723
126,122,1,2,0,0,0,0,12,4.62,75828
297,276,4,3,1,1,1,1,15,5.59,225792
169,157,2,2,1,0,0,1,11,2.33,152298
246,232,4,3,1,1,1,1,6,1.27,219305
238,205,3,1,1,1,0,0,10,5.74,160220
308,307,4,4,1,1,1,0,17,0.55,238977
228,209,4,2,0,1,1,1,2,4.78,190044
296,273,4,3,0,1,1,0,18,1.45,233797
272,246,4,2,1,1,0,1,3,1.69,226347
301,272,5,2,1,1,1,1,21,5.41,245213
231,220,4,4,1,1,1,1,11,3.9,179763
238,216,5,5,1,1,1,1,8,2.32,218460
172,160,3,3,0,0,0,0,15,0.44,138752
281,266,4,2,1,1,1,1,5,0.86,266269
197,174,4,5,1,1,1,1,5,1.77,194401
331,299,5,5,1,1,1,0,5,5.65,252736
249,219,5,3,1,1,1,1,22,2.88,207721
161,161,3,1,1,0,1,0,13,0.72,129477
587,515,7,8,1,1,1,1,4,2.04,512959
135,127,1,1,0,0,0,0,17,2.25,86996
136,118,2,3,1,1,0,0,5,3.58,96165
214,194,3,2,1,1,0,0,5,5.42,143314
231,224,3,4,1,1,1,0,12,2.16,173690
255,253,4,4,1,1,1,1,3,0.06,236998
192,174,4,3,1,1,1,1,16,3.66,181087
187,163,2,1,1,1,0,0,11,3.69,135139
224,205,4,3,1,1,0,1,3,1.71,206264
275,249,4,5,1,1,0,1,10,5.19,199150
118,111,1,2,0,0,0,0,5,1.17,81590
229,223,4,4,1,1,1,1,16,4.4,171997
598,560,7,8,1,1,1,1,2,5.14,543050
179,159,2,1,0,1,0,1,19,3.62,134143
156,148,2,1,0,0,0,0,3,1.79,111108
139,120,1,1,0,1,0,0,18,2.21,109942
545,439,8,8,1,1,1,1,8,4.94,464909
241,207,4,2,0,1,1,1,1,1.34,221554
